input	mapped_values
2 undetermined; 3 male	unknown,http://purl.obolibrary.org/obo/PATO_0000384
31 female, 6 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
34 female, 3 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
36 female, 4 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
36 female, 9 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
37 female, 15 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3F	http://purl.obolibrary.org/obo/PATO_0000383
3 Female	http://purl.obolibrary.org/obo/PATO_0000383
3 female, 1 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3 female, 3 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3 female, 5 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3 female, 7 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3 female, 8 male	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0000384
3 females	http://purl.obolibrary.org/obo/PATO_0000383
3 Females	http://purl.obolibrary.org/obo/PATO_0000383
3 females, 1 juvenile	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
3 females, 2 juveniles	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
3 females, 3 juveniles	http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
3 juveniles	http://purl.obolibrary.org/obo/PATO_0001190
3M	http://purl.obolibrary.org/obo/PATO_0000384
3M,1F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3M,2F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3M,3F	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 Machos (toretes)	http://purl.obolibrary.org/obo/PATO_0000384,Unknown
3 male	http://purl.obolibrary.org/obo/PATO_0000384
3 male, 10 female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 Male, 2 Female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 Male, 6 Female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 males	http://purl.obolibrary.org/obo/PATO_0000384
3 Males	http://purl.obolibrary.org/obo/PATO_0000384
3 males, 1 female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 Males, 1 Female	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 males, 2 females	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 males, 2 females, 1 juvenile	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383,http://purl.obolibrary.org/obo/PATO_0001190
3 males, 3 females	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 males, 4 females	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
3 Males, 4 Females	http://purl.obolibrary.org/obo/PATO_0000384,http://purl.obolibrary.org/obo/PATO_0000383
